cluster_id	Amplitude
0	2749.5
1	1187.2
2	1466.7
3	3137.8
4	2431.7
5	2521.7
6	2412.3
7	2111.8
8	2093.1
9	2142.0
10	3685.0
11	931.8
12	881.3
13	811.1
14	1090.5
15	903.0
16	2006.4
17	1161.8
18	1003.6
19	1060.4
20	1087.5
21	1570.1
22	1133.2
23	1104.8
24	2074.2
25	1237.0
26	3333.2
27	0.0
28	1818.2
29	1996.1
30	5051.5
31	3610.1
32	3336.3
33	2331.9
34	1871.5
35	1359.9
36	1161.2
37	1127.2
38	1202.6
39	1452.1
40	1562.0
41	1379.0
42	1079.8
43	0.0
44	1368.3
45	2745.8
46	1401.4
47	1665.6
48	1682.9
49	1413.2
50	1142.4
51	991.1
52	1094.5
53	1188.7
54	1406.3
55	804.7
56	1824.5
57	1263.4
58	0.0
59	2312.9
60	900.3
61	1383.9
62	1448.0
63	1417.6
64	967.3
65	1162.4
66	1422.7
67	1343.7
68	1464.0
69	1445.0
70	1534.1
71	1286.6
72	1836.0
73	2069.2
74	1657.2
75	1514.2
76	962.3
77	1350.5
78	1468.5
79	1503.8
80	1127.4
81	0.0
82	1231.4
83	1019.7
84	1412.1
85	1761.7
86	2249.7
87	1246.8
88	1839.5
89	1319.1
90	1393.5
91	852.7
92	1857.2
93	1917.1
94	817.4
95	8886.2
96	8005.6
97	6727.9
98	2078.5
99	1614.9
100	2212.4
101	2561.5
102	0.0
103	1646.6
104	2557.3
105	2415.6
106	2079.3
107	1030.6
108	1457.3
109	1245.2
110	1154.4
111	1148.8
